PRISM Time Series Data
Location:  Lat: 39.0512   Lon: -79.4580   Elev: 1001m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2018-07-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1981-01-01,5.66,-4.9,-2.4,0.2
1981-01-02,12.58,-6.7,-4.3,-1.9
1981-01-03,1.91,-11.4,-8.0,-4.6
1981-01-04,2.23,-19.3,-10.1,-0.9
1981-01-05,0.00,-22.2,-19.2,-16.1
1981-01-06,0.00,-21.0,-15.4,-9.8
1981-01-07,5.26,-14.3,-7.0,0.4
1981-01-08,2.70,-19.1,-11.4,-3.8
1981-01-09,0.00,-20.2,-14.6,-9.0
1981-01-10,2.06,-15.0,-10.6,-6.1
1981-01-11,0.82,-20.5,-15.8,-11.1
1981-01-12,1.20,-21.7,-17.2,-12.7
1981-01-13,0.00,-22.6,-17.5,-12.3
1981-01-14,1.41,-16.4,-11.0,-5.5
1981-01-15,1.08,-8.0,-3.6,0.8
1981-01-16,1.60,-6.4,-4.5,-2.6
1981-01-17,3.45,-12.1,-7.5,-3.0
1981-01-18,1.22,-13.1,-11.3,-9.5
1981-01-19,0.00,-13.7,-8.3,-3.0
1981-01-20,0.00,-10.6,-3.1,4.4
1981-01-21,4.61,-4.7,-0.2,4.3
1981-01-22,2.23,-1.6,0.0,1.7
1981-01-23,0.00,-3.9,-1.8,0.3
1981-01-24,2.56,-5.2,-3.7,-2.1
1981-01-25,0.00,-9.9,-5.2,-0.5
1981-01-26,0.00,-8.0,0.7,9.3
1981-01-27,0.00,-1.1,4.7,10.5
1981-01-28,0.00,-7.4,-0.6,6.3
1981-01-29,0.00,-7.9,-3.1,1.7
1981-01-30,1.96,-15.2,-9.9,-4.7
1981-01-31,0.00,-17.7,-12.2,-6.6
1981-02-01,0.00,-17.0,-7.7,1.7
1981-02-02,18.34,-5.1,0.2,5.4
1981-02-03,4.89,-17.6,-9.3,-1.0
1981-02-04,0.80,-17.5,-15.4,-13.2
1981-02-05,0.50,-17.4,-13.6,-9.7
1981-02-06,0.00,-17.1,-11.2,-5.3
1981-02-07,0.00,-12.3,-7.3,-2.4
1981-02-08,0.97,-10.3,-3.1,4.0
1981-02-09,6.45,-16.7,-8.9,-1.0
1981-02-10,0.00,-15.5,-8.3,-1.2
1981-02-11,5.91,-3.6,2.8,9.2
1981-02-12,8.53,-21.8,-5.9,10.0
1981-02-13,0.00,-21.6,-15.9,-10.2
1981-02-14,0.00,-17.3,-6.9,3.4
1981-02-15,0.00,-9.1,-0.4,8.4
1981-02-16,0.00,-8.1,1.8,11.6
1981-02-17,1.23,-3.8,5.0,13.8
1981-02-18,3.02,2.2,5.6,9.1
1981-02-19,0.00,1.3,9.1,16.9
1981-02-20,5.22,2.1,6.8,11.6
1981-02-21,22.18,0.6,3.0,5.5
1981-02-22,0.91,0.1,2.0,4.0
1981-02-23,0.00,2.3,7.6,12.8
1981-02-24,12.55,-1.5,3.4,8.4
1981-02-25,1.94,-2.0,-0.5,1.1
1981-02-26,0.00,-5.2,-1.0,3.3
1981-02-27,0.00,-7.3,-3.2,0.9
1981-02-28,0.00,-6.2,2.3,10.9
1981-03-01,19.91,-0.7,5.9,12.6
1981-03-02,0.00,-2.1,-0.9,0.3
1981-03-03,2.40,-7.6,-4.3,-1.0
1981-03-04,0.00,-9.5,-5.7,-2.0
1981-03-05,10.34,-7.2,-2.2,2.9
1981-03-06,7.11,-5.2,-2.5,0.1
1981-03-07,0.81,-7.8,-4.7,-1.5
1981-03-08,0.00,-7.6,-5.5,-3.3
1981-03-09,0.74,-5.5,-3.5,-1.4
1981-03-10,0.43,-4.7,-2.2,0.2
1981-03-11,2.34,-3.6,-1.1,1.4
1981-03-12,3.78,-7.9,-4.2,-0.4
1981-03-13,0.00,-6.5,0.0,6.6
1981-03-14,1.08,-8.4,1.1,10.5
1981-03-15,0.00,-9.0,-5.1,-1.2
1981-03-16,3.61,-3.2,4.0,11.1
1981-03-17,4.76,-8.6,-3.8,0.9
1981-03-18,5.90,-11.3,-6.6,-1.8
1981-03-19,1.35,-10.6,-6.1,-1.6
1981-03-20,5.15,-10.0,-7.2,-4.5
1981-03-21,5.17,-8.8,-6.0,-3.3
1981-03-22,0.00,-10.8,-5.0,0.7
1981-03-23,0.00,-7.9,-2.6,2.8
1981-03-24,0.00,-6.3,-0.2,5.9
1981-03-25,0.00,-4.7,0.4,5.5
1981-03-26,0.00,-6.1,-0.1,5.9
1981-03-27,29.28,-3.6,4.1,11.8
1981-03-28,0.86,-5.3,2.0,9.2
1981-03-29,0.00,-3.6,6.5,16.5
