PRISM Time Series Data
Location:  Lat: 39.0255   Lon: -79.4277   Elev: 1009m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1895-01 - 2018-07
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1895-01,140.91,-10.4,-5.4,-0.4
1895-02,31.21,-13.6,-8.6,-3.6
1895-03,133.01,-5.8,0.6,7.1
1895-04,93.72,-0.3,6.1,12.6
1895-05,77.79,5.9,12.3,18.7
1895-06,91.12,10.5,18.2,25.8
1895-07,111.03,10.2,16.7,23.1
1895-08,59.44,11.5,18.5,25.5
1895-09,26.19,10.4,17.3,24.2
1895-10,35.46,-1.2,5.8,12.8
1895-11,75.64,-1.8,3.8,9.4
1895-12,76.24,-5.5,-0.8,4.0
1896-01,40.96,-7.6,-3.4,0.8
1896-02,105.46,-7.4,-3.0,1.5
1896-03,150.02,-6.9,-2.0,2.9
1896-04,71.26,3.8,10.0,16.2
1896-05,137.96,10.1,16.1,22.1
1896-06,136.95,10.9,16.8,22.8
1896-07,356.83,13.8,18.9,24.0
1896-08,72.29,12.1,18.3,24.4
1896-09,178.99,8.3,14.8,21.2
1896-10,72.65,1.4,6.7,12.0
1896-11,106.70,0.5,5.7,10.9
1896-12,60.68,-6.5,-1.9,2.8
1897-01,70.60,-9.6,-5.0,-0.4
1897-02,176.35,-5.3,-1.1,3.0
1897-03,119.93,-1.2,4.4,9.9
1897-04,91.39,0.7,6.9,13.1
1897-05,130.42,4.5,10.8,17.0
1897-06,132.34,9.6,16.1,22.6
1897-07,170.03,13.4,19.2,25.1
1897-08,117.82,10.0,16.8,23.7
1897-09,56.34,6.5,14.7,23.0
1897-10,17.64,3.3,10.8,18.4
1897-11,176.61,-1.9,3.1,8.1
1897-12,141.39,-5.1,-0.6,3.9
1898-01,214.46,-5.0,-0.7,3.6
1898-02,78.93,-8.8,-3.3,2.1
1898-03,199.91,-0.0,5.4,10.8
1898-04,120.51,-1.3,4.4,10.2
1898-05,146.10,7.1,13.5,19.9
1898-06,98.53,10.0,17.2,24.4
1898-07,106.95,13.2,19.5,25.9
1898-08,224.49,13.0,18.9,24.7
1898-09,59.88,8.6,15.8,23.0
1898-10,147.65,4.0,9.5,15.0
1898-11,96.95,-3.4,2.2,7.8
1898-12,87.52,-8.4,-3.1,2.3
1899-01,151.41,-8.3,-2.7,2.8
1899-02,107.93,-11.3,-6.2,-1.0
1899-03,174.02,-3.1,2.4,7.9
1899-04,64.01,0.8,7.9,15.0
1899-05,171.63,7.4,14.0,20.6
1899-06,145.57,11.2,17.8,24.4
1899-07,130.56,11.8,18.9,26.0
1899-08,67.52,11.6,18.7,25.9
1899-09,106.78,7.0,14.0,20.9
1899-10,38.51,2.6,10.5,18.4
1899-11,82.85,-2.2,4.1,10.5
1899-12,94.90,-8.1,-2.6,2.9
1900-01,65.25,-7.7,-2.2,3.3
1900-02,117.23,-10.5,-4.8,1.0
1900-03,118.69,-5.7,-0.7,4.2
1900-04,42.29,0.3,6.8,13.3
1900-05,71.34,5.1,13.0,20.9
1900-06,141.02,11.0,17.4,23.7
1900-07,133.08,12.0,19.2,26.3
1900-08,102.13,12.9,20.2,27.6
1900-09,37.46,10.5,17.7,24.9
1900-10,82.16,4.8,12.1,19.4
