PRISM Time Series Data
Location:  Lat: 39.0196   Lon: -79.3796   Elev: 1104m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1895-01 - 2018-07
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1895-01,135.85,-10.2,-5.8,-1.3
1895-02,31.04,-13.6,-9.0,-4.3
1895-03,130.12,-5.3,0.1,5.5
1895-04,100.87,0.4,6.1,11.9
1895-05,77.64,6.5,12.2,17.9
1895-06,93.36,11.1,17.9,24.7
1895-07,113.72,10.7,16.5,22.4
1895-08,59.16,12.1,18.4,24.8
1895-09,27.95,11.0,17.3,23.6
1895-10,36.32,-0.3,6.0,12.4
1895-11,73.31,-1.1,3.9,8.9
1895-12,77.34,-5.4,-1.1,3.1
1896-01,40.94,-7.1,-3.4,0.2
1896-02,103.97,-7.3,-3.2,0.9
1896-03,146.93,-6.6,-2.2,2.1
1896-04,75.88,4.1,9.6,15.1
1896-05,140.23,10.5,15.9,21.3
1896-06,137.33,11.3,16.6,21.9
1896-07,354.01,13.9,18.5,23.1
1896-08,67.96,12.4,17.9,23.4
1896-09,176.54,8.8,14.6,20.5
1896-10,75.25,2.1,6.7,11.3
1896-11,104.08,0.9,5.7,10.6
1896-12,60.72,-6.7,-2.2,2.3
1897-01,67.93,-9.1,-5.1,-1.1
1897-02,169.96,-5.7,-1.9,1.8
1897-03,118.38,-1.1,3.8,8.6
1897-04,95.92,0.8,6.6,12.4
1897-05,128.90,5.1,10.8,16.5
1897-06,132.30,10.2,16.1,22.0
1897-07,180.26,13.7,18.9,24.2
1897-08,111.04,10.6,16.8,22.9
1897-09,55.64,6.8,14.6,22.4
1897-10,18.70,3.9,10.4,16.9
1897-11,169.38,-1.1,3.3,7.7
1897-12,143.00,-4.9,-0.9,3.0
1898-01,202.56,-4.7,-1.0,2.7
1898-02,75.09,-8.6,-3.7,1.2
1898-03,196.59,0.3,5.0,9.6
1898-04,126.62,-0.8,4.3,9.3
1898-05,142.95,7.6,13.4,19.2
1898-06,101.11,10.5,17.1,23.7
1898-07,112.78,13.5,19.3,25.0
1898-08,224.93,13.6,18.5,23.5
1898-09,60.73,9.4,15.5,21.6
1898-10,147.68,5.0,9.4,13.7
1898-11,94.70,-2.5,2.3,7.1
1898-12,91.23,-8.2,-3.3,1.7
1899-01,140.74,-8.0,-3.0,1.9
1899-02,107.56,-11.6,-7.0,-2.4
1899-03,172.23,-2.8,1.8,6.5
