PRISM Time Series Data
Location:  Lat: 38.2019   Lon: -80.2340   Elev: 1123m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1895-01 - 2018-07
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1895-01,143.82,-10.0,-5.1,-0.1
1895-02,27.11,-13.5,-8.1,-2.8
1895-03,130.57,-3.3,1.8,6.8
1895-04,115.57,1.6,7.4,13.2
1895-05,69.33,6.2,12.5,18.9
1895-06,81.87,9.9,17.5,25.1
1895-07,110.43,10.8,17.0,23.3
1895-08,65.15,12.3,18.7,25.2
1895-09,38.28,9.9,17.0,24.1
1895-10,33.56,-2.9,5.6,14.1
1895-11,83.17,-1.7,4.8,11.3
1895-12,119.62,-6.3,-1.0,4.4
1896-01,38.21,-8.1,-3.0,2.0
1896-02,107.63,-6.8,-1.9,2.9
1896-03,149.00,-5.3,-0.1,5.1
1896-04,54.40,3.4,10.3,17.3
1896-05,106.54,10.7,16.8,22.8
1896-06,157.44,11.9,17.0,22.1
1896-07,247.44,14.1,19.0,23.9
1896-08,83.16,12.4,18.1,23.8
1896-09,150.57,8.2,14.6,21.0
1896-10,71.36,0.8,7.8,14.9
1896-11,100.79,0.7,6.4,12.1
1896-12,66.55,-6.9,-1.5,3.8
1897-01,69.61,-10.3,-4.7,0.8
1897-02,198.96,-5.4,-0.9,3.6
1897-03,158.19,0.0,4.8,9.5
1897-04,91.86,0.7,7.1,13.5
1897-05,151.00,4.4,10.9,17.4
1897-06,126.20,10.8,16.9,22.9
1897-07,173.33,13.8,19.1,24.3
1897-08,84.78,12.0,17.6,23.2
1897-09,28.35,6.5,14.5,22.4
1897-10,21.72,3.5,10.9,18.4
1897-11,170.65,-1.6,3.7,9.0
1897-12,155.48,-5.0,-0.6,3.7
1898-01,187.99,-4.6,-0.5,3.5
1898-02,74.06,-8.0,-2.5,2.9
1898-03,219.32,0.9,5.7,10.5
1898-04,130.72,-0.6,4.9,10.4
1898-05,131.60,7.5,13.8,20.1
1898-06,91.60,10.7,17.0,23.4
1898-07,136.52,14.0,19.4,24.9
1898-08,246.14,14.0,18.6,23.2
1898-09,85.83,10.1,15.8,21.6
1898-10,168.78,4.2,10.1,16.0
1898-11,86.75,-2.4,2.6,7.7
1898-12,87.07,-8.6,-2.9,2.8
1899-01,116.09,-7.9,-2.7,2.5
1899-02,128.57,-10.0,-5.4,-0.8
1899-03,202.60,-2.4,2.4,7.2
1899-04,59.40,1.0,7.3,13.6
1899-05,194.79,8.1,14.1,20.1
1899-06,146.00,12.2,18.1,23.9
1899-07,102.31,12.6,18.9,25.2
1899-08,72.60,12.5,19.0,25.4
1899-09,113.75,7.4,13.8,20.1
1899-10,40.74,2.8,10.7,18.5
1899-11,79.93,-1.7,4.6,10.9
1899-12,118.51,-8.9,-2.9,3.0
