PRISM Time Series Data
Location:  Lat: 38.6004   Lon: -79.8516   Elev: 1002m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1895-01 - 2018-07
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1895-01,127.59,-10.2,-5.3,-0.4
1895-02,26.58,-13.7,-8.6,-3.5
1895-03,112.84,-4.7,0.8,6.2
1895-04,108.83,1.4,7.2,12.9
1895-05,73.78,6.1,12.6,19.1
1895-06,85.95,10.2,17.9,25.6
1895-07,112.11,10.2,16.6,23.1
1895-08,59.29,12.1,18.7,25.3
1895-09,36.85,10.3,17.1,24.0
1895-10,34.66,-1.6,5.8,13.3
1895-11,69.54,-2.3,3.8,9.9
1895-12,86.52,-5.1,-0.5,4.1
1896-01,38.48,-7.2,-2.8,1.6
1896-02,97.75,-6.9,-2.5,2.0
1896-03,138.89,-5.8,-0.9,4.1
1896-04,58.29,4.5,10.7,16.9
1896-05,117.35,10.9,16.8,22.8
1896-06,145.20,11.6,17.1,22.6
1896-07,301.57,14.3,19.1,23.8
1896-08,68.73,12.8,18.4,24.1
1896-09,157.65,8.8,15.0,21.1
1896-10,63.29,1.2,7.1,12.9
1896-11,96.53,0.8,6.0,11.1
1896-12,51.17,-5.9,-1.3,3.3
1897-01,57.39,-9.2,-4.7,-0.3
1897-02,169.30,-4.9,-0.5,3.8
1897-03,109.70,-0.4,4.9,10.1
1897-04,70.48,1.2,7.3,13.4
1897-05,125.16,4.8,11.1,17.5
1897-06,117.25,10.8,16.7,22.7
1897-07,175.02,13.8,19.2,24.5
1897-08,85.22,11.4,17.5,23.5
1897-09,42.64,6.8,14.7,22.5
1897-10,17.76,3.1,11.1,19.2
1897-11,140.12,-2.0,3.0,8.0
1897-12,123.81,-4.4,-0.2,4.0
1898-01,160.15,-4.1,-0.3,3.6
1898-02,57.56,-8.4,-3.0,2.5
1898-03,178.76,0.1,5.6,11.0
1898-04,105.13,-1.1,4.7,10.5
1898-05,133.38,6.9,13.4,19.8
1898-06,79.00,10.4,17.2,23.9
1898-07,114.36,13.2,19.5,25.7
1898-08,223.43,13.0,18.5,24.1
1898-09,63.34,9.3,16.0,22.7
1898-10,148.48,3.4,9.4,15.5
1898-11,88.85,-3.9,2.1,8.0
1898-12,87.80,-8.6,-3.0,2.7
1899-01,111.19,-8.1,-2.6,2.9
1899-02,105.38,-11.1,-5.8,-0.4
1899-03,165.25,-2.9,2.7,8.3
1899-04,58.94,0.7,8.0,15.3
1899-05,164.11,7.5,14.3,21.0
1899-06,133.34,11.3,17.6,24.0
1899-07,117.21,11.4,18.8,26.2
1899-08,65.02,11.6,18.8,26.0
1899-09,102.27,6.6,13.9,21.1
1899-10,40.18,1.9,10.3,18.8
1899-11,61.04,-2.9,4.1,11.1
1899-12,89.99,-8.4,-2.5,3.4
1900-01,60.42,-7.6,-1.8,4.1
1900-02,113.16,-10.0,-4.0,1.9
1900-03,109.41,-5.4,-0.1,5.2
1900-04,42.38,0.2,7.2,14.1
1900-05,78.84,5.1,13.2,21.4
1900-06,137.96,11.1,17.4,23.8
1900-07,116.73,11.9,19.0,26.2
1900-08,75.44,13.1,20.4,27.6
1900-09,54.37,10.8,18.0,25.1
1900-10,87.71,4.3,12.3,20.3
1900-11,135.31,-1.4,4.2,9.8
1900-12,71.04,-7.2,-2.2,2.8
1901-01,72.51,-7.7,-2.5,2.7
1901-02,27.70,-11.2,-6.2,-1.1
1901-03,94.18,-3.8,2.0,7.8
1901-04,170.76,-1.5,4.4,10.2
1901-05,160.44,5.7,12.2,18.8
1901-06,143.93,10.3,17.2,24.1
1901-07,95.04,14.4,21.0,27.6
1901-08,136.08,12.3,18.7,25.1
1901-09,78.60,6.9,13.8,20.7
1901-10,15.25,0.5,8.8,17.0
1901-11,76.63,-6.0,-0.6,4.8
1901-12,170.70,-8.8,-3.2,2.4
1902-01,106.21,-9.5,-4.2,1.1
1902-02,89.31,-10.6,-6.3,-1.9
1902-03,119.28,-3.7,2.7,9.1
1902-04,80.55,-0.8,5.7,12.3
1902-05,99.20,6.8,14.5,22.2
1902-06,128.80,8.2,15.5,22.7
1902-07,98.59,12.6,19.1,25.7
1902-08,59.49,10.3,17.2,24.0
1902-09,92.95,6.2,14.0,21.7
1902-10,67.11,3.7,10.3,17.0
1902-11,80.91,-0.3,6.6,13.4
1902-12,132.42,-6.6,-2.1,2.4
1903-01,106.33,-9.4,-3.9,1.5
1903-02,161.10,-8.9,-2.2,4.5
1903-03,135.50,0.8,6.8,12.8
1903-04,106.42,-0.0,6.9,13.8
1903-05,124.78,4.5,13.3,22.0
1903-06,139.08,8.0,13.9,19.9
1903-07,98.35,10.9,18.1,25.4
1903-08,89.71,11.7,17.9,24.1
1903-09,50.37,5.7,13.8,21.9
1903-10,62.39,1.6,8.5,15.4
1903-11,76.10,-7.3,-0.2,6.9
1903-12,55.43,-13.6,-6.8,0.0
1904-01,84.17,-11.1,-5.3,0.6
1904-02,67.74,-11.5,-4.5,2.6
1904-03,111.60,-3.4,3.0,9.4
1904-04,90.13,-1.2,5.1,11.4
1904-05,91.34,5.7,12.9,20.1
1904-06,120.75,9.9,16.4,22.9
1904-07,101.26,10.6,17.3,24.1
1904-08,66.89,10.4,17.3,24.2
1904-09,53.92,7.4,15.4,23.3
1904-10,38.82,-0.2,8.5,17.2
1904-11,16.88,-5.6,1.2,8.1
1904-12,90.29,-8.3,-3.0,2.2
1905-01,96.06,-12.0,-6.4,-0.9
1905-02,64.27,-12.4,-7.0,-1.7
1905-03,120.72,-2.3,4.2,10.6
1905-04,83.40,0.5,7.2,13.9
1905-05,128.50,6.9,14.0,21.1
1905-06,104.72,10.7,17.4,24.1
1905-07,163.51,12.9,18.7,24.6
1905-08,102.50,11.2,17.3,23.5
1905-09,48.79,7.3,14.1,20.8
1905-10,132.23,1.9,8.9,15.8
1905-11,65.16,-3.5,2.5,8.4
1905-12,89.34,-5.4,-0.6,4.1
1906-01,111.42,-5.0,0.4,5.8
1906-02,49.97,-9.8,-3.0,3.7
1906-03,117.23,-5.1,-0.2,4.8
1906-04,119.01,0.6,7.8,14.9
1906-05,67.18,5.2,12.9,20.6
1906-06,129.08,10.7,17.3,23.9
1906-07,98.92,11.8,18.1,24.5
