PRISM Time Series Data
Location:  Lat: 38.8383   Lon: -79.6430   Elev: 937m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2018-07-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1981-01-01,3.82,-6.2,-3.0,0.2
1981-01-02,7.23,-7.5,-4.3,-1.2
1981-01-03,1.03,-10.3,-7.5,-4.8
1981-01-04,0.98,-20.1,-10.4,-0.6
1981-01-05,0.00,-23.0,-19.5,-16.0
1981-01-06,0.00,-22.0,-15.2,-8.4
1981-01-07,4.45,-11.7,-5.2,1.3
1981-01-08,3.17,-19.1,-11.2,-3.2
1981-01-09,0.00,-19.4,-13.6,-7.9
1981-01-10,1.14,-15.0,-9.9,-4.9
1981-01-11,0.58,-20.3,-15.5,-10.8
1981-01-12,1.06,-22.3,-17.3,-12.3
1981-01-13,0.00,-22.9,-17.6,-12.3
1981-01-14,0.53,-16.1,-10.2,-4.3
1981-01-15,0.67,-7.6,-2.9,1.9
1981-01-16,0.96,-6.6,-4.5,-2.3
1981-01-17,3.14,-13.8,-8.3,-2.8
1981-01-18,0.91,-15.0,-12.0,-9.1
1981-01-19,0.00,-13.5,-7.9,-2.3
1981-01-20,0.00,-8.8,-1.8,5.1
1981-01-21,2.94,-5.5,-0.2,5.1
1981-01-22,0.66,-2.0,0.8,3.5
1981-01-23,0.00,-5.0,-1.9,1.2
1981-01-24,1.25,-6.2,-4.0,-1.8
1981-01-25,0.00,-8.5,-4.1,0.3
1981-01-26,0.00,-6.7,1.8,10.4
1981-01-27,0.00,0.1,5.4,10.7
1981-01-28,0.00,-7.5,-0.1,7.2
1981-01-29,0.00,-8.6,-3.2,2.3
1981-01-30,0.77,-14.1,-9.1,-4.2
1981-01-31,0.00,-17.9,-12.1,-6.3
1981-02-01,0.00,-18.8,-8.2,2.4
1981-02-02,18.19,-5.3,0.5,6.2
1981-02-03,6.19,-18.4,-8.7,1.0
1981-02-04,1.10,-18.8,-15.6,-12.5
1981-02-05,0.86,-18.7,-13.7,-8.7
1981-02-06,0.00,-18.3,-11.1,-4.0
1981-02-07,0.00,-12.3,-7.0,-1.7
1981-02-08,0.34,-11.0,-3.5,4.1
1981-02-09,5.68,-17.2,-8.6,-0.1
1981-02-10,0.00,-16.5,-8.7,-0.9
1981-02-11,13.86,-3.6,2.6,8.7
1981-02-12,8.47,-22.8,-6.5,9.7
1981-02-13,0.00,-22.2,-15.6,-8.9
1981-02-14,0.00,-15.7,-5.1,5.5
1981-02-15,0.00,-7.7,1.0,9.6
1981-02-16,0.00,-7.6,2.3,12.1
1981-02-17,1.40,-2.1,5.8,13.6
1981-02-18,0.92,2.8,6.4,10.0
1981-02-19,0.00,2.3,9.8,17.2
1981-02-20,6.66,2.0,7.0,11.9
1981-02-21,31.38,0.1,2.9,5.7
1981-02-22,0.97,-0.2,2.8,5.7
1981-02-23,0.08,3.1,8.1,13.0
1981-02-24,15.41,-1.6,3.3,8.2
1981-02-25,2.23,-3.1,-0.7,1.7
1981-02-26,0.00,-6.3,-1.1,4.1
1981-02-27,0.00,-8.7,-3.3,2.1
1981-02-28,0.00,-7.8,2.3,12.4
1981-03-01,16.64,-0.6,7.0,14.6
1981-03-02,0.03,-2.8,-0.9,1.0
1981-03-03,3.14,-8.4,-4.5,-0.5
1981-03-04,0.00,-9.6,-5.4,-1.2
1981-03-05,7.12,-7.2,-1.4,4.3
1981-03-06,6.51,-6.1,-2.1,2.0
1981-03-07,1.51,-8.6,-4.9,-1.1
1981-03-08,0.00,-8.4,-5.7,-2.9
1981-03-09,0.00,-6.5,-3.7,-0.8
1981-03-10,0.45,-5.3,-2.4,0.4
1981-03-11,0.59,-4.2,-1.1,2.0
1981-03-12,2.66,-8.7,-4.2,0.3
1981-03-13,0.00,-7.9,-0.5,6.9
1981-03-14,1.53,-9.2,0.8,10.8
1981-03-15,0.00,-9.5,-5.3,-1.0
1981-03-16,1.44,-4.1,3.8,11.6
1981-03-17,5.68,-8.6,-3.2,2.2
1981-03-18,6.69,-10.5,-5.8,-1.1
1981-03-19,2.59,-10.7,-5.9,-1.1
1981-03-20,4.09,-10.5,-7.1,-3.7
1981-03-21,4.72,-9.6,-6.2,-2.8
1981-03-22,0.00,-11.8,-5.3,1.3
1981-03-23,0.84,-9.4,-3.2,3.0
1981-03-24,0.00,-5.8,0.5,6.8
1981-03-25,0.00,-5.0,0.5,5.9
1981-03-26,0.00,-5.6,0.3,6.3
1981-03-27,18.14,-4.1,4.0,12.2
1981-03-28,3.79,-5.6,1.9,9.4
1981-03-29,0.00,-4.4,6.2,16.8
1981-03-30,1.96,5.6,13.2,20.8
1981-03-31,2.92,5.8,10.7,15.5
1981-04-01,0.00,4.8,12.9,21.0
1981-04-02,8.51,3.5,10.0,16.5
1981-04-03,0.00,0.2,8.1,16.1
1981-04-04,0.00,2.9,13.5,24.1
1981-04-05,6.00,10.0,16.9,23.8
1981-04-06,5.71,-2.7,6.1,14.8
1981-04-07,0.00,-7.2,-1.5,4.2
1981-04-08,0.00,-5.1,5.2,15.5
1981-04-09,0.00,5.5,13.9,22.2
